program_started : 1564060767229515 : 8546
circBuffer.txt not found!
Starting with clean buffers
client_device_connected : 1564060788567082 : 10.0.85.35 : sd = 3
Adding to list of sockets as 0
client_device_connected : 1564060788581861 : 10.0.85.38 : sd = 4
Adding to list of sockets as 1
client_device_connected : 1564060788587174 : 10.0.85.37 : sd = 6
Adding to list of sockets as 2
server_device_connected : 1564060798184284 : 10.0.85.35 : sd = 8
Adding to list of sockets as 3
received_rejected_message : 1564060832380571 : 10.0.85.37 : sd=6
received_rejected_message : 1564060832746125 : 10.0.85.37 : sd=6
received_rejected_message : 1564060833233151 : 10.0.85.37 : sd=6
received_rejected_message : 1564060833771144 : 10.0.85.37 : sd=6
received_rejected_message : 1564060834223412 : 10.0.85.37 : sd=6
received_rejected_message : 1564060834618855 : 10.0.85.37 : sd=6
received_rejected_message : 1564060835071440 : 10.0.85.37 : sd=6
received_rejected_message : 1564060835445096 : 10.0.85.37 : sd=6
received_rejected_message : 1564060835843976 : 10.0.85.37 : sd=6
received_rejected_message : 1564060836248917 : 10.0.85.37 : sd=6
received_rejected_message : 1564060836519626 : 10.0.85.37 : sd=6
received_rejected_message : 1564060836753147 : 10.0.85.37 : sd=6
received_rejected_message : 1564060836991313 : 10.0.85.37 : sd=6
received_rejected_message : 1564060837229104 : 10.0.85.37 : sd=6
received_rejected_message : 1564060837459140 : 10.0.85.37 : sd=6
received_rejected_message : 1564060837704092 : 10.0.85.37 : sd=6
received_rejected_message : 1564060838010634 : 10.0.85.37 : sd=6
received_rejected_message : 1564060838312109 : 10.0.85.37 : sd=6
received_rejected_message : 1564060838566208 : 10.0.85.37 : sd=6
received_rejected_message : 1564060838801015 : 10.0.85.37 : sd=6
received_rejected_message : 1564060839321696 : 10.0.85.37 : sd=6
received_rejected_message : 1564060839625831 : 10.0.85.37 : sd=6
received_rejected_message : 1564060839931863 : 10.0.85.37 : sd=6
sent_message : 1564060842880449 : 10.0.85.35 : sd = 3
sent_message : 1564060843098211 : 10.0.85.35 : sd = 3
sent_message : 1564060843698567 : 10.0.85.35 : sd = 3
sent_message : 1564060844555615 : 10.0.85.35 : sd = 3
sent_message : 1564060844945467 : 10.0.85.35 : sd = 3
sent_message : 1564060845658526 : 10.0.85.35 : sd = 3
sent_message : 1564060846026978 : 10.0.85.35 : sd = 3
sent_message : 1564060847006256 : 10.0.85.35 : sd = 3
sent_message : 1564060847465953 : 10.0.85.35 : sd = 3
sent_message : 1564060848173040 : 10.0.85.35 : sd = 3
sent_message : 1564060848575513 : 10.0.85.35 : sd = 3
sent_message : 1564060849251014 : 10.0.85.35 : sd = 3
sent_message : 1564060849588269 : 10.0.85.35 : sd = 3
sent_message : 1564060850152906 : 10.0.85.35 : sd = 3
sent_message : 1564060850624164 : 10.0.85.35 : sd = 3
sent_message : 1564060851006862 : 10.0.85.35 : sd = 3
sent_message : 1564060851713064 : 10.0.85.35 : sd = 3
sent_message : 1564060852501322 : 10.0.85.35 : sd = 3
sent_message : 1564060853032418 : 10.0.85.35 : sd = 3
sent_message : 1564060853522810 : 10.0.85.35 : sd = 3
sent_message : 1564060853965135 : 10.0.85.35 : sd = 3
sent_message : 1564060854374388 : 10.0.85.35 : sd = 3
sent_message : 1564060855084374 : 10.0.85.35 : sd = 3
sent_message : 1564060855476924 : 10.0.85.35 : sd = 3
sent_message : 1564060856546189 : 10.0.85.35 : sd = 3
sent_message : 1564060856962547 : 10.0.85.35 : sd = 3
sent_message : 1564060857362418 : 10.0.85.35 : sd = 3
sent_message : 1564060857746311 : 10.0.85.35 : sd = 3
received_rejected_message : 1564060840301993 : 10.0.85.37 : sd=6
sent_message : 1564060871697187 : 10.0.85.37 : sd = 6
sent_message : 1564060871947305 : 10.0.85.37 : sd = 6
sent_message : 1564060872243124 : 10.0.85.37 : sd = 6
sent_message : 1564060872553696 : 10.0.85.37 : sd = 6
sent_message : 1564060873029580 : 10.0.85.37 : sd = 6
sent_message : 1564060873236875 : 10.0.85.37 : sd = 6
sent_message : 1564060873651618 : 10.0.85.37 : sd = 6
sent_message : 1564060873875562 : 10.0.85.37 : sd = 6
sent_message : 1564060874469229 : 10.0.85.37 : sd = 6
sent_message : 1564060874685271 : 10.0.85.37 : sd = 6
sent_message : 1564060875111199 : 10.0.85.37 : sd = 6
